ID,AGE_GROUP,CHURNRISK,GENDER,STATUS,CHILDREN,ESTINCOME,HOMEOWNER,AGE,TAXID,CREDITCARD,DOB,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,ZIP4,LONGITUDE,LATITUDE,TOTALDOLLARVALUETRADED,TOTALUNITSTRADED,LARGESTSINGLETRANSACTION,SMALLESTSINGLETRANSACTION,PERCENTCHANGECALCULATION,DAYSSINCELASTLOGIN,DAYSSINCELASTTRADE,NETREALIZEDGAINS_YTD,NETREALIZEDLOSSES_YTD
0,"Young adult","Low","F","S",1,+0038000.00,"N",24,"147889187","6549061697939450",19471111,"159 HUTTON ST BSMT A",,"ABSECON","NJ","08201","0",,,+0059755.98,206,29877,2987,+0051.50,3,10,+00002987.7990,+00000000.00000
1,"Adult","Low","M","M",2,+0029616.00,"N",49,"113772166","6436360484417351",19920317,"31 WOODLAND RD",,"SAINT LOUIS","MO","63121","0",-090.285918,+038.687261,+0029782.98,45,14891,1489,+0011.25,3,9,+00001489.1490,+00000000.00000
2,"Adult","Low","M","M",0,+0019732.80,"N",51,"132420919","4849378808118089",19070908,"1910 COCHRAN RD STE 600",,"KEARNY","NJ","07032","0",,,+0024812.48,22,12406,1240,+0005.50,1,9,+00001240.6240,+00000000.00000
3,"Adult","High","M","S",2,+0000096.33,"N",56,"700548452","2926742654852808",19800429,"187 HAYES MILL RD APT 17",,"RUSTON","LA","71270","0",-092.629521,+032.531971,+0026132.61,32,13066,1306,+0008.00,3,5,+00000000.0000,+00001306.63050
4,"Young adult","High","F","M",2,+0052004.80,"N",25,"141013706","4132500804622620",19790116,"RR 1 BOX 57B",,"MONTGOMERY","AL","35125","0",-086.270005,+033.593192,+0005030.50,23,1257,125,+0003.45,2,19,+00000000.0000,+00000251.52500
5,"Young adult","High","M","M",2,+0053010.80,"N",19,"163371244","2231773884473986",19921206,"7850 45TH AVE NW",,"CHESTER","MA","01011","0",,,+0012451.25,46,6225,622,+0011.50,2,8,+00000000.0000,+00000622.56250
6,"Senior","Medium","M","M",1,+0075004.50,"N",65,"182544864","7349439804241836",19110424,"RR 1 BOX 47",,"NEW CASTLE","PA","16102","0",,,+0026522.65,32,13261,1326,+0008.00,4,10,+00000000.0000,+00001326.13250
7,"Adult","High","M","M",0,+0019749.30,"N",60,"206227068","5553618912566583",19121123,"515 KENSINGTON ST",,"ISSAQUAH","WA","98075","0",,,+0020222.02,13,10111,1011,+0003.25,3,10,+00000000.0000,+00001011.10100
8,"Adult","Medium","M","S",1,+0057626.90,"Y",44,"131059071","9119007527242906",19160426,"6077 STATE ROUTE 149",,"SHAVERTOWN","PA","18708","0",,,+0009380.94,38,2345,234,+0005.70,2,15,+00000000.0000,+00000234.52350
9,"Adult","Medium","M","M",2,+0020078.00,"N",33,"119762649","6813572896826394",19770209,"188 W OLYMPIC PL",,"EL PASO","TX","79925","0",-106.344110,+031.794880,+0009650.97,6,2412,241,+0000.90,3,11,+00000000.0000,+00000241.27425
