Average Dollar per Unit traded,Net realized gains YTD,Net realized losses YTD,Total dollar value traded,Total units traded,Days since last login,Days since last trade,Id,Age,Age Group,Children,DOB,Estimated income,Gender,Homeowner,Status,Address 1,Address 2,City,Latitude,Longitude,State,Country,Churn Risk
1.97134615,0,10.251,410.04,208,3,14,173,77,Senior,0,8/23/01,83287,F,N,S,10273 N 33RD AVE,,WILLARD,,,MO,United States,Medium
1.97134615,0,10.251,410.04,208,4,14,449,59,Adult,0,12/21/57,77000,F,N,S,6030 WESTKNOLL DR APT 591D,,ANCRAM,,,NY,United States,Medium
1.97134615,0,10.251,410.04,208,5,12,756,60,Adult,0,1/14/83,83287,F,N,S,3600 THOMAS AVE,,ARLINGTON,,,VA,United States,Medium
6.16133929,0,17.25175,690.07,112,3,12,193,49,Adult,2,6/26/53,11234.7,F,Y,M,U569 CUMMINS HWY,,KITE,,,GA,United States,Medium
6.16133929,0,17.25175,690.07,112,1,13,470,49,Adult,2,9/21/96,11234.7,F,Y,M,345 N STRINGTOWN RD,,PASADENA,,,TX,United States,Medium
6.16133929,0,17.25175,690.07,112,1,13,776,49,Adult,2,1/31/76,11234.7,F,Y,M,611 1ST AVE NE,,AKRON,,,OH,United States,Medium
6.16133929,0,17.25175,690.07,112,1,15,1048,49,Adult,2,2/2/22,11234.7,F,Y,M,14701 JASMINE AVE,,ONEONTA,42.447392,-75.065846,NY,United States,Medium
6.16133929,0,34.5035,690.07,112,1,17,1195,49,Adult,2,5/4/29,11234.7,F,Y,M,6103 75TH ST SE,,BROKEN ARROW,,,OK,United States,High
6.16133929,0,17.25175,690.07,112,2,10,1337,49,Adult,2,2/22/31,11234.7,F,Y,M,68659 COUNTY HIGHWAY 10,,ISABELA,,,PR,United States,Medium
6.16133929,0,34.5035,690.07,112,1,19,1476,49,Adult,2,5/26/61,11234.7,F,Y,M,15017 TURTLE POND CT,,MATAWAN,,,NJ,United States,High
6.16133929,0,17.25175,690.07,112,1,14,1619,49,Adult,2,3/19/85,11234.7,F,Y,M,176 BELMAR ACRES RD,,GAINESVILLE,29.643582,-82.408748,FL,United States,Medium
6.16133929,0,17.25175,690.07,112,3,10,1742,49,Adult,2,3/6/51,11234.7,F,Y,M,580 STAFFORD AVE APT 12B,,MONTGOMERY,32.364591,-86.300209,AL,United States,Medium
6.16133929,0,34.5035,690.07,112,3,17,1859,49,Adult,2,8/11/77,11234.7,F,Y,M,100 BROWNS LN,,DORCHESTER CENTER,42.293634,-71.069993,MA,United States,High
6.16133929,0,34.5035,690.07,112,1,16,1983,49,Adult,2,2/8/41,11234.7,F,Y,M,3496 PLAINFIELD AVE NE STE 1,,FULLERTON,,,CA,United States,Medium
8.001,0,2.00025,80.01,10,4,15,123,43,Adult,2,11/5/13,18296.4,F,Y,M,1851 S SHORE E,,CUTTINGSVILLE,,,VT,United States,Medium
8.001,0,2.00025,80.01,10,2,10,398,43,Adult,2,12/26/09,18296.4,F,Y,M,11348 BRYANT ST,,HUNTSVILLE,34.733646,-86.585312,AL,United States,Medium
8.001,0,4.0005,80.01,10,2,16,682,43,Adult,2,9/25/77,18296.4,F,Y,M,4639 MAIN ST,,NAUGATUCK,41.48141,-73.062592,CT,United States,High
8.001,0,4.0005,80.01,10,4,18,983,43,Adult,2,2/9/10,18296.4,F,Y,M,3201 152ND ST,,HEMINGWAY,,,SC,United States,High
12.41084337,0,25.7525,1030.1,83,5,11,221,26,Young adult,2,11/19/47,98003.7,F,Y,M,121 W MAIN ST STE A,,RIVERTON,,,UT,United States,Medium
12.41084337,0,25.7525,1030.1,83,4,14,497,26,Young adult,2,9/22/15,98003.7,F,Y,M,1595 SUNNYVALE AVE APT 49,,ARLINGTON HEIGHTS,,,IL,United States,Medium
12.41084337,0,51.505,1030.1,83,1,18,803,26,Young adult,2,12/21/24,98003.7,F,Y,M,120 W 176TH ST APT 3A,,AUSTIN,,,TX,United States,High
12.41084337,0,25.7525,1030.1,83,5,15,1073,26,Young adult,2,2/11/34,98003.7,F,Y,M,PO BOX 29560,,FARGO,46.872293,-96.784024,ND,United States,Medium
12.41084337,0,25.7525,1030.1,83,3,10,1215,26,Young adult,2,4/2/02,98003.7,F,Y,M,1986 WISCONSIN AVE,,CREVE COEUR,,,IL,United States,Medium
